arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
vanillaS1_f0,9,ALL,571,0.852197,0.705233,0.786943,469,0.763111,0.562522,0.677953
vanillaS1_f0,9,SMC,27,0.551630,0.349716,0.469500,0,nan,nan,nan
vanillaS1_f0,9,<70 bpm,63,0.599092,0.254560,0.562662,36,0.526781,0.137427,0.375548
vanillaS1_f0,9,SMC <70,15,0.442652,0.219793,0.407891,0,nan,nan,nan
vanillaS1_f0,9,>=70 bpm,508,0.883586,0.761123,0.814758,433,0.782759,0.597865,0.703096
vanillaS1_f0,25,ALL,571,0.882893,0.766462,0.849981,469,0.844710,0.693379,0.796888
vanillaS1_f0,25,SMC,27,0.598704,0.376360,0.544592,0,nan,nan,nan
vanillaS1_f0,25,<70 bpm,63,0.677768,0.392226,0.607152,36,0.597563,0.192435,0.504006
vanillaS1_f0,25,SMC <70,15,0.545612,0.339198,0.478084,0,nan,nan,nan
vanillaS1_f0,25,>=70 bpm,508,0.908332,0.812873,0.880096,433,0.865258,0.735027,0.821239
vanillaS1_f0,50,ALL,571,0.904130,0.828093,0.887828,469,0.880807,0.764613,0.865348
vanillaS1_f0,50,SMC,27,0.595309,0.464261,0.626390,0,nan,nan,nan
vanillaS1_f0,50,<70 bpm,63,0.696706,0.512954,0.653365,36,0.655230,0.368763,0.624038
vanillaS1_f0,50,SMC <70,15,0.512995,0.327775,0.541707,0,nan,nan,nan
vanillaS1_f0,50,>=70 bpm,508,0.929854,0.867176,0.916905,433,0.899561,0.797524,0.885411
vanillaS1_f0,84,ALL,571,0.907854,0.835352,0.899774,469,0.890906,0.788619,0.886802
vanillaS1_f0,84,SMC,27,0.633066,0.499167,0.639386,0,nan,nan,nan
vanillaS1_f0,84,<70 bpm,63,0.711424,0.542157,0.692012,36,0.656079,0.344038,0.661533
vanillaS1_f0,84,SMC <70,15,0.562253,0.418612,0.591916,0,nan,nan,nan
vanillaS1_f0,84,>=70 bpm,508,0.932214,0.871713,0.925539,433,0.910430,0.825581,0.905531
vanillaS1_f0,99,ALL,571,0.910199,0.839549,0.902924,469,0.892071,0.787728,0.887218
vanillaS1_f0,99,SMC,27,0.642262,0.525046,0.673972,0,nan,nan,nan
vanillaS1_f0,99,<70 bpm,63,0.719360,0.551561,0.686643,36,0.656983,0.327612,0.645997
vanillaS1_f0,99,SMC <70,15,0.552560,0.402042,0.601016,0,nan,nan,nan
vanillaS1_f0,99,>=70 bpm,508,0.933866,0.875264,0.929746,433,0.911617,0.825983,0.907274
